category_en,orders,customers,products_sold,sellers,units,product_revenue,freight_revenue,gmv,avg_item_price,avg_weight_g,delivered_units,avg_review_score,avg_delivery_days,late_rate,rated_units,negative_review_rate,freight_ratio,pct_of_revenue,cumulative_pct
health_beauty,8757,8602,2411,485,9585,1251145.54,181067.84,1432213.38,130.531616066771,1044.332916014606,9422,4.178518361282106,11.852579070261092,0.07556781999575461,9422,0.12789216726809594,0.12642518393453356,0.09302522614307505,0.09302522614307505
watches_gifts,5599,5524,1319,98,5965,1194824.97,99999.46,1294824.43,200.3059463537301,581.6853310980721,5855,4.055346771438333,12.584315735520246,0.07209977789167948,5853,0.15237444482405194,0.07723013072899776,0.08883767673874525,0.1818629028818203
bed_bath_table,9394,9122,3018,194,11089,1035485.0700000001,204294.48,1239779.55,93.37948146812157,2119.1230949589685,10945,3.901324805847419,12.747555961626313,0.07035175879396985,10945,0.1879396984924623,0.16478290838076817,0.07699042975010557,0.2588533326319259
sports_leisure,7656,7454,2840,474,8573,977728.77,167025.1,1144753.87,114.04744780123644,1729.952058789222,8414,4.152008557166627,12.069416379412813,0.06323546891715202,8413,0.13382457808414547,0.14590481358232926,0.07269613088805049,0.3315494635199764
computers_accessories,6636,6504,1623,284,7760,902922.7,146278.79,1049201.49,116.3560180412371,902.8108247422681,7632,3.978249475890985,13.143231555497314,0.06486698990957934,7631,0.17269392033542977,0.13941915961251639,0.06713414680534761,0.398683610325324
furniture_decor,6373,6243,2605,356,8229,721584.27,170853.26,892437.53,87.68796573095152,2653.7344756349494,8095,3.941445336627548,12.80308832612724,0.07090796788140828,8095,0.1849289684990735,0.1914456242108061,0.05365126418309075,0.45233487450841475
housewares,5838,5775,2313,462,6903,625538.73,144953.87,770492.6,90.6183876575402,3222.6568158771547,6783,4.0984960188734885,10.85124576146248,0.05012531328320802,6783,0.1450899439693306,0.1881314239747403,0.04651008212801683,0.4988449566364316
cool_stuff,3609,3593,780,260,3772,619724.39,83124.97,702849.36,164.2959676564157,2539.996818663839,3711,4.1821611425491785,12.300727566693613,0.05847480463486931,3711,0.12206952303961197,0.11826854334761008,0.04607777407425298,0.5449227307106845
auto,3863,3820,1875,370,4195,585177.48,91676.7,676854.18,139.49403575685338,2588.1849821215733,4132,4.092207163601162,12.125877511498427,0.07044299201161947,4131,0.14569215876089062,0.13544527419480515,0.04350914075978305,0.5884318714704676
garden_tools,3500,3471,746,235,4323,479650.06,98409.95,578060.01,110.95305574832292,2826.385380522785,4263,4.073187895847995,13.666666666666666,0.06568144499178982,4263,0.15177105324888576,0.17024175396599395,0.035662961561641754,0.6240948330321093
toys,3833,3792,1386,248,4059,475702.04,76489.72,552191.76,117.19685636856369,1855.2416851441242,4006,4.19370943584623,11.586267166042447,0.06392009987515605,4005,0.12581128307538691,0.13852021261599412,0.0353694182115073,0.6594642512436166
baby,2859,2832,897,239,3032,408941.03,67861.42,476802.45,134.8750098944591,3294.4308808973938,2971,4.063278357455403,12.42611915180074,0.07707842477280377,2971,0.15348367553012454,0.14232607235973724,0.030405600770420396,0.689869852014037
perfumery,3120,3084,858,172,3373,391770.21,53495.06,445265.27,116.1488911947821,480.6418618440557,3311,4.215040773180308,11.65176683781335,0.06553911205073996,3311,0.13168227121715495,0.12014199984651845,0.02912891523504932,0.7189987672490864
telephony,4175,4129,1122,146,4518,322082.46,70841.77,392924.23,71.28872509960159,261.6923417441346,4422,3.9864314789687922,12.797150610583447,0.06965174129353234,4422,0.15784712799638173,0.1802937171881714,0.02394748869761221,0.7429462559466986
office_furniture,1266,1257,309,34,1684,272279.82,68205.65,340485.47,161.6863539192399,11380.60866983373,1662,3.5138387484957883,20.717208182912152,0.08002406738868832,1662,0.25511432009626955,0.20031882711470772,0.020244560700504732,0.7631908166472033
