cohort_month,cohort_customers,first_order_revenue,avg_first_order_value
2017-01-01,753,120098.27,159.4930544488712
2017-02-01,1690,244834.43,144.87244378698225
2017-03-01,2571,367780.05,143.04941656942825
2017-04-01,2326,351789.62,151.24231298366294
2017-05-01,3541,498779.47000000003,140.85836486868118
2017-06-01,3102,424888.47000000003,136.9724274661509
2017-07-01,3823,486064.17,127.14207951870259
2017-08-01,4130,559163.74,135.39073607748185
2017-09-01,4076,611848.31,150.10998773307165
2017-10-01,4392,648704.35,147.70135473588343
2017-11-01,7189,988740.14,137.53514257894005
2017-12-01,5437,725811.78,133.49490160014716
2018-01-01,6952,927350.66,133.39336306098966
2018-02-01,6356,824511.48,129.72175582127124
2018-03-01,6932,964266.42,139.10363819965377
2018-04-01,6698,972131.67,145.13760376231713
2018-05-01,6588,968700.39,147.0401320582878
2018-06-01,5921,837761.02,141.48978550920452
2018-07-01,6017,857615.11,142.53201096892138
2018-08-01,6209,829814.75,133.64708487679175
