month,orders,customers,units,product_revenue,freight_revenue,avg_order_value,items_per_order,freight_share_pct,pct_of_total_revenue,revenue_rank
2017-01-01,787,753,953,120098.27,16845.19,152.6,1.21,12.3,0.89,20
2017-02-01,1718,1693,1936,244959.35,38602.34,142.58,1.13,13.61,1.82,19
2017-03-01,2617,2577,2975,368341.32,57276.64,140.75,1.14,13.46,2.74,17
2017-04-01,2377,2345,2660,353842.98,52005.63,148.86,1.12,12.81,2.63,18
2017-05-01,3640,3569,4106,503159.19,79551.64,138.23,1.13,13.65,3.74,14
2017-06-01,3205,3142,3571,429916.61,69735.63,134.14,1.11,13.96,3.2,16
2017-07-01,3946,3872,4493,492287.3,86466.43,124.76,1.14,14.94,3.66,15
2017-08-01,4272,4191,4882,568245.79,93657.73,133.02,1.14,14.15,4.23,13
2017-09-01,4227,4154,4815,621415.91,95686.81,147.01,1.14,13.34,4.62,12
2017-10-01,4547,4481,5300,660179.62,104576.41,145.19,1.17,13.67,4.91,11
2017-11-01,7421,7313,8626,1003862.14,168329.54,135.27,1.16,14.36,7.46,1
2017-12-01,5618,5551,6300,742183.79,119342.98,132.11,1.12,13.85,5.52,10
2018-01-01,7187,7088,8173,945456.29,156463.72,131.55,1.14,14.2,7.03,5
2018-02-01,6624,6468,7597,837895.43,141590.73,126.49,1.15,14.46,6.23,9
2018-03-01,7168,7077,8195,981051.06,171605.93,136.87,1.14,14.89,7.29,4
2018-04-01,6919,6863,7957,993592.98,162655.91,143.6,1.15,14.07,7.39,2
2018-05-01,6833,6775,7898,992871.75,152814.71,145.31,1.16,13.34,7.38,3
2018-06-01,6145,6106,7060,863265.53,157116.37,140.48,1.15,15.4,6.42,7
2018-07-01,6233,6172,7039,878044.27,161739.31,140.87,1.13,15.56,6.53,6
2018-08-01,6421,6380,7216,848860.1,148113.41,132.2,1.12,14.86,6.31,8
