month,orders,product_revenue,running_revenue,revenue_3m_moving_avg,mom_revenue_growth_pct,mom_order_growth_pct,yoy_revenue_growth_pct,mom_trend
2017-01-01,787,120098.27,120098.27,120098.27,,,,no prior month
2017-02-01,1718,244959.35,365057.62,182528.81,103.97,118.3,,strong growth
2017-03-01,2617,368341.32,733398.94,244466.31,50.37,52.33,,strong growth
2017-04-01,2377,353842.98,1087241.92,322381.22,-3.94,-9.17,,mild decline
2017-05-01,3640,503159.19,1590401.11,408447.83,42.2,53.13,,strong growth
2017-06-01,3205,429916.61,2020317.72,428972.93,-14.56,-11.95,,sharp decline
2017-07-01,3946,492287.3,2512605.02,475121.03,14.51,23.12,,strong growth
2017-08-01,4272,568245.79,3080850.81,496816.57,15.43,8.26,,strong growth
2017-09-01,4227,621415.91,3702266.72,560649.67,9.36,-1.05,,growth
2017-10-01,4547,660179.62,4362446.34,616613.77,6.24,7.57,,growth
2017-11-01,7421,1003862.14,5366308.48,761819.22,52.06,63.21,,strong growth
2017-12-01,5618,742183.79,6108492.27,802075.18,-26.07,-24.3,,sharp decline
2018-01-01,7187,945456.29,7053948.56,897167.41,27.39,27.93,687.24,strong growth
2018-02-01,6624,837895.43,7891843.99,841845.17,-11.38,-7.83,242.05,sharp decline
2018-03-01,7168,981051.06,8872895.05,921467.59,17.09,8.21,166.34,strong growth
2018-04-01,6919,993592.98,9866488.03,937513.16,1.28,-3.47,180.8,growth
2018-05-01,6833,992871.75,10859359.78,989171.93,-0.07,-1.24,97.33,mild decline
2018-06-01,6145,863265.53,11722625.31,949910.09,-13.05,-10.07,100.8,sharp decline
2018-07-01,6233,878044.27,12600669.58,911393.85,1.71,1.43,78.36,growth
2018-08-01,6421,848860.1,13449529.68,863389.97,-3.32,3.02,49.38,mild decline
