month,month_label,orders,product_revenue,period_avg_revenue,vs_period_avg_pct,best_month_rank,worst_month_rank,trading_period
2017-11-01,Nov 2017,7421,1003862.14,672476.48,49.28,1,20,Black Friday month
2018-04-01,Apr 2018,6919,993592.98,672476.48,47.75,2,19,regular trading
2018-05-01,May 2018,6833,992871.75,672476.48,47.64,3,18,regular trading
2018-03-01,Mar 2018,7168,981051.06,672476.48,45.89,4,17,regular trading
2018-01-01,Jan 2018,7187,945456.29,672476.48,40.59,5,16,post-holiday
2018-07-01,Jul 2018,6233,878044.27,672476.48,30.57,6,15,regular trading
2018-06-01,Jun 2018,6145,863265.53,672476.48,28.37,7,14,regular trading
2018-08-01,Aug 2018,6421,848860.1,672476.48,26.23,8,13,regular trading
2018-02-01,Feb 2018,6624,837895.43,672476.48,24.6,9,12,post-holiday
2017-12-01,Dec 2017,5618,742183.79,672476.48,10.37,10,11,Christmas
2017-10-01,Oct 2017,4547,660179.62,672476.48,-1.83,11,10,regular trading
2017-09-01,Sep 2017,4227,621415.91,672476.48,-7.59,12,9,regular trading
2017-08-01,Aug 2017,4272,568245.79,672476.48,-15.5,13,8,regular trading
2017-05-01,May 2017,3640,503159.19,672476.48,-25.18,14,7,regular trading
2017-07-01,Jul 2017,3946,492287.3,672476.48,-26.79,15,6,regular trading
2017-06-01,Jun 2017,3205,429916.61,672476.48,-36.07,16,5,regular trading
2017-03-01,Mar 2017,2617,368341.32,672476.48,-45.23,17,4,regular trading
2017-04-01,Apr 2017,2377,353842.98,672476.48,-47.38,18,3,regular trading
2017-02-01,Feb 2017,1718,244959.35,672476.48,-63.57,19,2,post-holiday
2017-01-01,Jan 2017,787,120098.27,672476.48,-82.14,20,1,post-holiday
