cohort_month,cohort_customers,months_observable,m1,m2,m3,m6,m12
2017-01-01,753,19.0,0.4,0.27,0.13,0.4,0.66
2017-02-01,1690,18.0,0.24,0.3,0.12,0.24,0.12
2017-03-01,2571,17.0,0.51,0.35,0.39,0.16,0.23
2017-04-01,2326,16.0,0.6,0.21,0.17,0.34,0.09
2017-05-01,3541,15.0,0.48,0.48,0.4,0.42,0.25
2017-06-01,3102,14.0,0.45,0.35,0.39,0.35,0.16
2017-07-01,3823,13.0,0.52,0.34,0.24,0.31,0.13
2017-08-01,4130,12.0,0.68,0.34,0.27,0.29,0.12
2017-09-01,4076,11.0,0.69,0.54,0.29,0.22,
2017-10-01,4392,10.0,0.71,0.25,0.09,0.2,
2017-11-01,7189,9.0,0.56,0.39,0.17,0.11,
2017-12-01,5437,8.0,0.22,0.28,0.35,0.17,
2018-01-01,6952,7.0,0.33,0.36,0.29,0.17,
2018-02-01,6356,6.0,0.36,0.39,0.3,0.2,
2018-03-01,6932,5.0,0.4,0.3,0.29,,
2018-04-01,6698,4.0,0.58,0.31,0.24,,
2018-05-01,6588,3.0,0.52,0.26,0.2,,
2018-06-01,5921,2.0,0.42,0.27,,,
2018-07-01,6017,1.0,0.52,,,,
2018-08-01,6209,0.0,,,,,
