seller_id,seller_state,seller_region,orders,units,products,product_revenue,pct_of_ranked_revenue,avg_item_price,avg_review_score,late_delivery_rate_pct,avg_delivery_days,revenue_quartile,late_vs_market_pp
4869f7a5dfa277a7dca6462dcf3b52b2,SP,Southeast,1131,1155,95,229237.63,2.51,198.47,4.129,10.54,14.9,1,3.75
53243585a1d6dc2643021fd1853d8905,BA,Northeast,358,410,23,222776.05,2.44,543.36,4.12,3.0,13.3,1,-3.79
4a3ca9315b744ce9f8e9374361493884,SP,Southeast,1804,1985,399,200326.12,2.19,100.92,3.804,9.7,14.4,1,2.91
fa1c13f2614d7b5c4749cbc52fecda94,SP,Southeast,584,585,289,192842.13,2.11,329.64,4.361,9.15,13.3,1,2.36
7c67e1448b00f6e969d365cea6b010ab,SP,Southeast,982,1364,198,187923.89,2.06,137.77,3.348,8.86,22.3,1,2.07
7e93a43ef30c4f03f38b393420bc753a,SP,Southeast,331,335,181,171184.88,1.87,511.0,4.352,4.67,11.3,1,-2.12
da8622b14eb17ae2831f4ac5b9dab84a,SP,Southeast,1314,1551,222,160236.57,1.75,103.31,4.06,6.4,11.1,1,-0.39
7a67c85e85bb2ce8582c35f2203ad736,SP,Southeast,1159,1170,149,141715.54,1.55,121.12,4.251,5.19,11.1,1,-1.59
1025f0e2d44d7041d6cf58b6550e0bfa,SP,Southeast,915,1428,154,138968.55,1.52,97.32,3.858,6.69,12.0,1,-0.1
955fee9216a65b617aa5c0531780ce60,SP,Southeast,1286,1498,104,135159.7,1.48,90.23,4.075,6.45,10.7,1,-0.33
46dc3b2cc0980fb8ec44634e21d2718e,RJ,Southeast,509,529,182,124916.32,1.37,236.14,4.259,5.65,11.6,1,-1.14
6560211a19b47992c3666cc44a7e94c0,SP,Southeast,1847,2025,256,122776.83,1.34,60.63,3.932,5.11,9.5,1,-1.68
7d13fca15225358621be4086e1eb0964,SP,Southeast,565,578,57,113628.97,1.24,196.59,4.007,11.21,15.6,1,4.42
5dceca129747e92ff8ef7a997dc4f8ca,SP,Southeast,324,345,47,112085.63,1.23,324.89,4.006,5.25,11.3,1,-1.54
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,Southeast,709,765,123,108771.8,1.19,142.19,4.218,8.62,12.8,1,1.83
1f50f920176fa81dab994f9023523100,SP,Southeast,1403,1930,23,106889.31,1.17,55.38,3.985,7.79,15.5,1,1.0
cc419e0650a3c5ba77189a1882b7556a,SP,Southeast,1697,1766,37,103634.51,1.13,58.68,4.137,5.12,11.5,1,-1.67
a1043bafd471dff536d0c462352beb48,MG,Southeast,715,767,6,101483.16,1.11,132.31,4.242,4.92,13.6,1,-1.87
3d871de0142ce09b7081e2b9d1733cb1,SP,Southeast,1076,1143,202,94508.2,1.03,82.68,4.131,5.48,13.3,1,-1.31
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,Southeast,166,175,55,79284.55,0.87,453.05,4.454,6.9,11.6,1,0.11
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,South,187,192,12,74004.62,0.81,385.44,4.323,6.35,15.8,1,-0.44
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,Southeast,219,230,9,68395.0,0.75,297.37,4.218,13.1,13.0,1,6.31
fe2032dab1a61af8794248c8196565c9,SP,Southeast,294,306,70,65959.61,0.72,215.55,4.37,8.52,10.6,1,1.74
8581055ce74af1daba164fdbd55a40de,SP,Southeast,385,432,32,64549.42,0.71,149.42,4.258,7.98,12.8,1,1.19
cca3071e3e9bb7d12640c9fbe2301306,SP,Southeast,703,816,311,63031.29,0.69,77.24,3.826,4.6,14.1,1,-2.19
