seller_id,seller_state,orders,late_rate_pct,market_late_rate_pct,late_vs_market_multiple,avg_delivery_days,avg_review_score,score_vs_market,revenue,severity
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,10.54,6.79,1.55,14.9,4.129,-0.015,226987.93,elevated - monitor
7d13fca15225358621be4086e1eb0964,SP,558,11.21,6.79,1.65,15.6,4.007,-0.137,112436.18,elevated - monitor
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,218,13.1,6.79,1.93,13.0,4.218,0.075,68070.0,elevated - monitor
8160255418d5aaa7dbdc9f4c64ebda44,SP,380,15.09,6.79,2.22,16.7,3.851,-0.292,46368.39,severe - review seller
b33e7c55446eabf8fe1a42d037ac7d6d,SP,149,11.84,6.79,1.74,16.3,4.191,0.047,44215.17,elevated - monitor
712e6ed8aa4aa1fa65dab41fed5737e4,SC,77,20.0,6.79,2.95,23.7,3.435,-0.708,39385.0,severe - review seller
2eb70248d66e0e3ef83659f71b244378,SP,187,11.68,6.79,1.72,17.9,2.777,-1.367,38990.72,elevated - monitor
06a2c3af7b3aee5d69171b0e14f0ee87,MA,389,19.4,6.79,2.86,17.7,3.98,-0.164,36097.98,severe - review seller
c3867b4666c7d76867627c2f7fb22e21,SP,228,10.37,6.79,1.53,15.1,3.992,-0.152,34666.9,elevated - monitor
88460e8ebdecbfecb5f9601833981930,PR,246,16.33,6.79,2.41,18.2,3.37,-0.774,31320.4,severe - review seller
855668e0971d4dfd7bef1b6a4133b41b,SP,300,12.54,6.79,1.85,16.1,3.81,-0.333,30849.22,elevated - monitor
900ba814c251a692506d7834c1218441,SP,86,13.95,6.79,2.06,12.4,4.221,0.077,28833.03,severe - review seller
59b22a78efb79a4797979612b885db36,MG,125,11.28,6.79,1.66,12.4,3.947,-0.196,27184.5,elevated - monitor
7e1fb0a3ebfb01ffb3a7dae98bf3238d,SP,155,12.43,6.79,1.83,15.6,4.124,-0.019,26169.53,elevated - monitor
a416b6a846a11724393025641d4edd5e,SP,157,10.8,6.79,1.59,12.6,4.216,0.072,24930.24,elevated - monitor
7ad32824caee82087b3e2e5f33b1bf32,SP,147,11.67,6.79,1.72,11.4,3.744,-0.399,22018.1,elevated - monitor
897060da8b9a21f655304d50fd935913,SP,303,10.92,6.79,1.61,14.7,3.449,-0.695,21669.51,elevated - monitor
8444e55c1f13cd5c179851e5ca5ebd00,MG,92,10.78,6.79,1.59,21.2,3.157,-0.987,21480.96,elevated - monitor
8f2ce03f928b567e3d56181ae20ae952,SP,151,12.21,6.79,1.8,14.3,4.099,-0.045,21213.2,elevated - monitor
cd68562d3f44870c08922d380acae552,SP,122,17.83,6.79,2.63,16.7,3.891,-0.252,18119.7,severe - review seller
7aa4334be125fcdd2ba64b3180029f14,SP,214,11.81,6.79,1.74,15.9,4.076,-0.068,16012.95,elevated - monitor
2e90cb1677d35cfe24eef47d441b7c87,SP,127,11.68,6.79,1.72,12.1,4.036,-0.107,13894.71,elevated - monitor
6039e27294dc75811c0d8a39069f52c0,SP,63,21.62,6.79,3.18,17.9,3.865,-0.279,13500.8,severe - review seller
a673821011d0cec28146ea42f5ab767f,SP,125,10.64,6.79,1.57,12.5,3.823,-0.321,13366.0,elevated - monitor
0b35c634521043bf4b47e21547b99ab5,PR,50,11.69,6.79,1.72,17.4,3.494,-0.65,13235.65,elevated - monitor
