order_month,delivered_orders,late_rate_pct,change_vs_prev_month_pp,late_rate_3m_avg,avg_delivery_days,avg_review_score,negative_review_rate_pct
2017-01-01,750,2.93,,2.93,12.8,4.185,12.4
2017-02-01,1653,2.96,0.03,2.95,13.3,4.189,11.37
2017-03-01,2546,4.56,1.59,3.48,13.0,4.174,11.59
2017-04-01,2303,6.56,2.0,4.69,15.0,4.13,13.07
2017-05-01,3545,2.99,-3.57,4.7,11.4,4.226,10.49
2017-06-01,3135,3.03,0.04,4.19,12.0,4.207,11.1
2017-07-01,3872,2.79,-0.24,2.94,11.5,4.247,10.3
2017-08-01,4193,2.91,0.12,2.91,11.0,4.299,9.75
2017-09-01,4150,4.39,1.48,3.36,11.7,4.252,10.65
2017-10-01,4478,4.18,-0.21,3.82,11.7,4.19,11.43
2017-11-01,7288,12.4,8.23,6.99,15.1,3.975,16.93
2017-12-01,5513,7.46,-4.95,8.01,15.3,4.071,14.91
2018-01-01,7069,5.7,-1.75,8.52,14.0,4.093,14.16
2018-02-01,6555,14.13,8.43,9.09,16.9,3.868,19.68
2018-03-01,7003,18.96,4.84,12.93,16.2,3.797,21.62
2018-04-01,6798,4.5,-14.46,12.53,11.4,4.194,12.05
2018-05-01,6749,6.56,2.06,10.01,11.3,4.228,11.02
2018-06-01,6096,1.16,-5.4,4.08,9.2,4.301,10.14
2018-07-01,6156,3.38,2.21,3.7,8.9,4.304,10.01
2018-08-01,6351,6.19,2.81,3.58,7.7,4.304,9.72
